Title,Year,Source title,DOI,Link
"Relaxed schedulers can efficiently parallelize iterative algorithms",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052449808&doi=10.1145%2f3212734.3212756&partnerID=40&md5=e90cf239a0232c879083613115b5404e"
"Leader election in well-connected graphs",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052442156&doi=10.1145%2f3212734.3212754&partnerID=40&md5=52eb8304b28d1b1c440eca2a0a042c61"
"Population stability: Regulating size in the presence of an adversary",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052441876&doi=10.1145%2f3212734.3212747&partnerID=40&md5=728f74e89ac836ca490cd4095447212e"
"The space requirement of local forwarding on acyclic networks",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027888094&doi=10.1145%2f3087801.3087803&partnerID=40&md5=74fa1acc313900bb7c0ba07ff2dc151e"
"Analyzing contention and backoff in asynchronous shared memory",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027837701&doi=10.1145%2f3087801.3087828&partnerID=40&md5=f2885449bfa3458a143a7ac583f6bd7a"
"Brief announcement: Secure self-stabilizing computation",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087864","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027837320&doi=10.1145%2f3087801.3087864&partnerID=40&md5=6ed9aa846aff3947397fd9bbb3009ecd"
"Distributed convex thresholding",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957708486&doi=10.1145%2f2767386.2767387&partnerID=40&md5=4002d5515dc06fe68632649c1ebd1711"
"Adaptively secure computation with partial erasures",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957688273&doi=10.1145%2f2767386.2767400&partnerID=40&md5=070b40034137fab1b5a390271b63bc6f"
"Fast distributed almost stable matchings",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957643881&doi=10.1145%2f2767386.2767424&partnerID=40&md5=c897d28132919f4e93ae3390169cf9c1"
"Efficient communication in cognitive radio networks",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767422","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957627112&doi=10.1145%2f2767386.2767422&partnerID=40&md5=7b51e7706648aab41a8f523374fa8848"
"Locally Checkable Problems in Rooted Trees",2021,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3465084.3467934","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112350001&doi=10.1145%2f3465084.3467934&partnerID=40&md5=eeec6da36bb10253a2afb55daa678c24"
"Component Stability in Low-Space Massively Parallel Computation",2021,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3465084.3467903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112347808&doi=10.1145%2f3465084.3467903&partnerID=40&md5=e20af20e10c027e2da6d08fbc987f699"
"Sleeping is Efficient: MIS in (1)-rounds Node-averaged Awake Complexity",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090367414&doi=10.1145%2f3382734.3405718&partnerID=40&md5=688a3a46759d3a841fe0fb456b97d786"
"Recoverable Mutual Exclusion with Constant Amortized RMR Complexity from Standard Primitives",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405736","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090348238&doi=10.1145%2f3382734.3405736&partnerID=40&md5=d60672e27b79b91d614cd102b01bf1aa"
"Distributed Edge Coloring in Time Quasi-Polylogarithmic in Delta",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090347391&doi=10.1145%2f3382734.3405710&partnerID=40&md5=63f0a5a9022acd67f94c49fe9106bb4a"
"Noisy Beeps",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3404501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090343660&doi=10.1145%2f3382734.3404501&partnerID=40&md5=c7260bd14643ced7a504f27c9c0b5f9b"
"Efficient and Simple Algorithms for Fault-Tolerant Spanners",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090324317&doi=10.1145%2f3382734.3405735&partnerID=40&md5=4b29ee3fa59cb4961a06ca1e0e047caa"
"The Energy Complexity of BFS in Radio Networks",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090323555&doi=10.1145%2f3382734.3405713&partnerID=40&md5=d9da491519e632a1d7b700e3965a9576"
"On the use of randomness in local distributed graph algorithms",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071040776&doi=10.1145%2f3293611.3331610&partnerID=40&md5=8c23d9b3458f2e8441cd0433e6863fe5"
"How to spread a rumor: Call your neighbors or take a walk?",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331622","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071008257&doi=10.1145%2f3293611.3331622&partnerID=40&md5=ca5dd16e06b0146b956337327eacd936"
"Composable Computation in Discrete Chemical Reaction Networks",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070989737&doi=10.1145%2f3293611.3331615&partnerID=40&md5=031a13d649433f72d4d3d688fabbea2b"
"Symmetry breaking in the plane: Rendezvous by robots with unknown attributes",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070981866&doi=10.1145%2f3293611.3331608&partnerID=40&md5=9a47104570bff779ae1ce85c1bef71e3"
"A sharp threshold phenomenon for the distributed complexity of the lovász local lemma",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331636","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070973468&doi=10.1145%2f3293611.3331636&partnerID=40&md5=bf35936f4905a181c1aa0987e4391df3"
"On the complexity of distributed splitting problems",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070967616&doi=10.1145%2f3293611.3331630&partnerID=40&md5=76d0b0c73bd478115e3163f049821c89"
"Efficient multiparty interactive coding for insertions, deletions, and substitutions",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070951626&doi=10.1145%2f3293611.3331621&partnerID=40&md5=b604f0f5d6c507e2b860fca714e1b437"
"Brief announcement: Partially replicated causally consistent shared memory",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212790","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052484123&doi=10.1145%2f3212734.3212790&partnerID=40&md5=89abb0d04fd5801ebb9a9e44a43e13b4"
"Sublinear message bounds for randomized agreement",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052465862&doi=10.1145%2f3212734.3212751&partnerID=40&md5=8c630961039ef61f2e47221f0cdef6d4"
"Distributed uniformity testing",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052447808&partnerID=40&md5=182afd69eb04b177b01b94c75a67e60c"
"An asynchronous computability theorem for fair adversaries",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052443730&doi=10.1145%2f3212734.3212765&partnerID=40&md5=14c30cd732bb86dcccab951c0bbee640"
"Deterministic abortable mutual exclusion with sublogarithmic adaptive RMR complexity",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052440134&doi=10.1145%2f3212734.3212759&partnerID=40&md5=2efd17186a7a6ad57301e60b0ef23335"
