Title,Year,Source title,DOI,Link
"Querying and exploring polygamous relationships in urban spatio-temporal data sets",2017,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3035918.3058741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021242432&doi=10.1145%2f3035918.3058741&partnerID=40&md5=c5d3ccbd2eaedeb89f883d392d27f849"
"Staging user feedback toward rapid conflict resolution in data fusion",2017,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3035918.3035941","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021211904&doi=10.1145%2f3035918.3035941&partnerID=40&md5=490900c4a26a1e5325ae461281dfea78"
"Optimizing iceberg queries with complex joins",2017,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3035918.3064053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021204780&doi=10.1145%2f3035918.3064053&partnerID=40&md5=6566f433cd5c18223b747e61d0c17a4a"
"A demonstration of interactive analysis of performance measurements with Viska",2017,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3035918.3056448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021194147&doi=10.1145%2f3035918.3056448&partnerID=40&md5=6be248af1d38599c6df5ab92c937f4e6"
"Utilizing semantic big data for realizing a national-scale infrastructure vulnerability analysis system",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2928294.2928295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053695764&doi=10.1145%2f2928294.2928295&partnerID=40&md5=26b9925e1ff90b8a79b0d0435c51d77f"
"Larger-than-memory data management on modern storage hardware for in-memory OLTP database systems",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2933349.2933358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048826192&doi=10.1145%2f2933349.2933358&partnerID=40&md5=9f87216f7ab7095807650b291fa06408"
"FPGA - Accelerated group-by aggregation using synchronizing caches",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2933349.2933360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034447554&doi=10.1145%2f2933349.2933360&partnerID=40&md5=3bcd8a9bcadd0e6055d43e1d2279d76c"
"DFA minimization in map-reduce",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2926534.2926537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028892210&doi=10.1145%2f2926534.2926537&partnerID=40&md5=26e6a2f681e091a2c8b5cc9102f124c5"
"Faucet: A user-level, modular technique for flow control in dataflow engines",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2926534.2926544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028887249&doi=10.1145%2f2926534.2926544&partnerID=40&md5=2d05166ee4d34da6d28e78702152d630"
"On exploring efficient shuffle design for in-memory mapreduce",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2926534.2926538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028869809&doi=10.1145%2f2926534.2926538&partnerID=40&md5=48d043de694e3301db10113ac045263c"
"Semistructured models, queries and algebras in the big data era",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2912573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979704158&doi=10.1145%2f2882903.2912573&partnerID=40&md5=b0f196a38628afb98215e5e01ec21f3c"
"CoDAR: Revealing the generalized procedure & recommending algorithms of community detection",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2899386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979703317&doi=10.1145%2f2882903.2899386&partnerID=40&md5=a58b279afec2fe999471078c1a90d778"
"The challenges of global-scale data management",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2912571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979699155&doi=10.1145%2f2882903.2912571&partnerID=40&md5=2369ea53ad044a8ce8a764ea38333634"
"Wander join: Online aggregation for joins",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2899413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979697403&doi=10.1145%2f2882903.2899413&partnerID=40&md5=88bb1e11a829a58cf101a34d6049a263"
"A fast randomized algorithm for multi-objective query optimization",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2882927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979696623&doi=10.1145%2f2882903.2882927&partnerID=40&md5=4d7405eb5933e90a1c5cf6af47be6da0"
"DB-risk: The game of global database placement",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2899405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979695360&doi=10.1145%2f2882903.2899405&partnerID=40&md5=b8383814ced233d41a9021430a8b3acd"
"Potential and pitfalls of domain-specific information extraction at web scale",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2903736","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979687063&doi=10.1145%2f2882903.2903736&partnerID=40&md5=4d16bca733f3a7c08bf00e8709d18814"
"RxSpatial: Reactive spatial library for real-time location tracking and processing",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2899411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979671305&doi=10.1145%2f2882903.2899411&partnerID=40&md5=91808fe49e479230757ced9c88511baf"
"Multi-source uncertain entity resolution at Yad Vashem",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2903737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979663914&doi=10.1145%2f2882903.2903737&partnerID=40&md5=359f3cc074d24d240f4e1695c055e814"
